name,serial,title,title score,firstName,name score,location,location score,length score,combo score,total score
Zaros of the Mount,9243,,0.30,Zaros,0.44,Mount,0.30,7.23,6.37,14.64
Zelroth of the Desert,1344,,0.30,Zelroth,0.41,Desert,0.32,7.23,6.37,14.64
Udor of the Brambles,7524,,0.30,Udor,0.33,Brambles,0.40,7.23,6.37,14.64
Alessar of the Mist,814,,0.30,Alessar,0.23,Mist,0.50,7.23,6.37,14.64
Lumos of the Field,3763,,0.30,Lumos,0.17,Field,0.56,7.23,6.37,14.64
Basil of the Plains,7018,,0.30,Basil,0.36,Plains,0.38,7.23,6.37,14.63
Sondra of the Valley,7955,,0.30,Sondra,0.43,Valley,0.30,7.23,6.37,14.63
Oberon of the Valley,9262,,0.30,Oberon,0.43,Valley,0.30,7.23,6.37,14.63
Celah of the Brambles,5001,,0.30,Celah,0.33,Brambles,0.40,7.23,6.37,14.63
Udor of the Grotto,1099,,0.30,Udor,0.33,Grotto,0.39,7.23,6.37,14.63
Larissa of the Wood,858,,0.30,Larissa,0.54,Wood,0.19,7.23,6.37,14.63
Atlanta of the Wood,3329,,0.30,Atlanta,0.54,Wood,0.19,7.23,6.37,14.63
Amir of the Brambles,458,,0.30,Amir,0.32,Brambles,0.40,7.23,6.37,14.63
Amir of the Brambles,5331,,0.30,Amir,0.32,Brambles,0.40,7.23,6.37,14.63
Oberon of the Keep,4302,,0.30,Oberon,0.43,Keep,0.30,7.23,6.37,14.63
Zelroth of the Marsh,4336,,0.30,Zelroth,0.41,Marsh,0.31,7.23,6.37,14.63
Celah of the Grotto,3665,,0.30,Celah,0.33,Grotto,0.39,7.23,6.37,14.63
Lunar Mage Ofaris of the Plains,5484,Lunar Mage,13.06,Ofaris,0.33,Plains,0.38,0.48,0.37,14.62
Merlon of the Villa,120,,0.30,Merlon,0.20,Villa,0.53,7.23,6.37,14.62
Udor of the Cosmos,2994,,0.30,Udor,0.33,Cosmos,0.39,7.23,6.37,14.62
Zelroth of the Valley,6497,,0.30,Zelroth,0.41,Valley,0.30,7.23,6.37,14.62
Lumos of the Veil,9715,,0.30,Lumos,0.17,Veil,0.54,7.23,6.37,14.61
Lumos of the Sun,3968,,0.30,Lumos,0.17,Sun,0.54,7.23,6.37,14.61
Lumos of the Sun,8820,,0.30,Lumos,0.17,Sun,0.54,7.23,6.37,14.61
Zelroth of the Keep,5977,,0.30,Zelroth,0.41,Keep,0.30,7.23,6.37,14.61
Solomon of the Grotto,4829,,0.30,Solomon,0.31,Grotto,0.39,7.23,6.37,14.61
Ozohr of the Steppe,6487,,0.30,Ozohr,0.37,Steppe,0.33,7.23,6.37,14.60
Isaac of the Hall,7031,,0.30,Isaac,0.39,Hall,0.31,7.23,6.37,14.60
Aleister of the Wild,1047,,0.30,Aleister,0.11,Wild,0.60,7.23,6.37,14.60
Alatar of the Cosmos,3477,,0.30,Alatar,0.31,Cosmos,0.39,7.23,6.37,14.60
Jeldor of the Hall,8360,,0.30,Jeldor,0.38,Hall,0.31,7.23,6.37,14.60
Ofaris of the Hills,3025,,0.30,Ofaris,0.33,Hills,0.36,7.23,6.37,14.60
Ofaris of the Hills,9716,,0.30,Ofaris,0.33,Hills,0.36,7.23,6.37,14.60
Apollo of the Heath,67,,0.30,Apollo,0.23,Heath,0.46,7.23,6.37,14.59
Soya of the Havens,1109,,0.30,Soya,0.23,Havens,0.46,7.23,6.37,14.59
Crowley of the Grotto,5300,,0.30,Crowley,0.30,Grotto,0.39,7.23,6.37,14.59
Lumos of the Road,958,,0.30,Lumos,0.17,Road,0.52,7.23,6.37,14.59
Silas of the Wood,3882,,0.30,Silas,0.50,Wood,0.19,7.23,6.37,14.59
Uvlius of the Hills,248,,0.30,Uvlius,0.32,Hills,0.36,7.23,6.37,14.58
Milo of the Brambles,7039,,0.30,Milo,0.28,Brambles,0.40,7.23,6.37,14.58
Casper of the Hall,5189,,0.30,Casper,0.37,Hall,0.31,7.23,6.37,14.58
Aleister of the Sacred Pillars,8075,,0.30,Aleister,0.11,Sacred Pillars,0.57,7.23,6.37,14.58
Alatar of the Hills,1073,,0.30,Alatar,0.31,Hills,0.36,7.23,6.37,14.58
Alatar of the Hills,3615,,0.30,Alatar,0.31,Hills,0.36,7.23,6.37,14.58
Alatar of the Hills,8756,,0.30,Alatar,0.31,Hills,0.36,7.23,6.37,14.58
Ixar of the Brambles,4461,,0.30,Ixar,0.27,Brambles,0.40,7.23,6.37,14.57
Ozohr of the Mount,3457,,0.30,Ozohr,0.37,Mount,0.30,7.23,6.37,14.57
Ozohr of the Mount,4910,,0.30,Ozohr,0.37,Mount,0.30,7.23,6.37,14.57
Hadrien of the Grotto,2828,,0.30,Hadrien,0.27,Grotto,0.39,7.23,6.37,14.57
Ofaris of the Steppe,941,,0.30,Ofaris,0.33,Steppe,0.33,7.23,6.37,14.57
Solomon of the Tower,4721,,0.30,Solomon,0.31,Tower,0.36,7.23,6.37,14.57
Ozohr of the Keep,5939,,0.30,Ozohr,0.37,Keep,0.30,7.23,6.37,14.57
Celah of the Steppe,3796,,0.30,Celah,0.33,Steppe,0.33,7.23,6.37,14.56
David of the Hills,8381,,0.30,David,0.30,Hills,0.36,7.23,6.37,14.56
Uvlius of the Steppe,3409,,0.30,Uvlius,0.32,Steppe,0.33,7.23,6.37,14.56
George of the Cosmos,637,,0.30,George,0.27,Cosmos,0.39,7.23,6.37,14.56
Daria of the Grotto,1862,,0.30,Daria,0.26,Grotto,0.39,7.23,6.37,14.56
Celah of the Desert,5164,,0.30,Celah,0.33,Desert,0.32,7.23,6.37,14.55
Crowley of the Tower,992,,0.30,Crowley,0.30,Tower,0.36,7.23,6.37,14.55
Remus of the Wood,2986,,0.30,Remus,0.46,Wood,0.19,7.23,6.37,14.55
Celeste of the Wood,6356,,0.30,Celeste,0.46,Wood,0.19,7.23,6.37,14.55
Celeste of the Wood,6959,,0.30,Celeste,0.46,Wood,0.19,7.23,6.37,14.55
Milton of the Tower,7330,,0.30,Milton,0.29,Tower,0.36,7.23,6.37,14.55
Aleister of the Sun,8903,,0.30,Aleister,0.11,Sun,0.54,7.23,6.37,14.54
Milo of the Tower,747,,0.30,Milo,0.28,Tower,0.36,7.23,6.37,14.54
Ofaris of the Mount,9984,,0.30,Ofaris,0.33,Mount,0.30,7.23,6.37,14.54
Azahl of the Keep,3325,,0.30,Azahl,0.34,Keep,0.30,7.23,6.37,14.54
Lumos of the Havens,389,,0.30,Lumos,0.17,Havens,0.46,7.23,6.37,14.54
Aleister of the Villa,8490,,0.30,Aleister,0.11,Villa,0.53,7.23,6.37,14.53
Alatar of the Hall,6406,,0.30,Alatar,0.31,Hall,0.31,7.23,6.37,14.53
Uvlius of the Mount,2339,,0.30,Uvlius,0.32,Mount,0.30,7.23,6.37,14.53
Apollo of the Grotto,6468,,0.30,Apollo,0.23,Grotto,0.39,7.23,6.37,14.52
Alessar of the Cosmos,2388,,0.30,Alessar,0.23,Cosmos,0.39,7.23,6.37,14.52
Daria of the Hills,4228,,0.30,Daria,0.26,Hills,0.36,7.23,6.37,14.52
Uvlius of the Keep,1985,,0.30,Uvlius,0.32,Keep,0.30,7.23,6.37,14.52
Sondra of the Wood,103,,0.30,Sondra,0.43,Wood,0.19,7.23,6.37,14.52
Aldus of the Desert,6385,,0.30,Aldus,0.29,Desert,0.32,7.23,6.37,14.52
Milo of the Steppe,3577,,0.30,Milo,0.28,Steppe,0.33,7.23,6.37,14.52
Carly of the Wood,9585,,0.30,Carly,0.42,Wood,0.19,7.23,6.37,14.51
Aleister of the Mist,4823,,0.30,Aleister,0.11,Mist,0.50,7.23,6.37,14.51
Aleister of the Mist,8326,,0.30,Aleister,0.11,Mist,0.50,7.23,6.37,14.51
Jerret of the Steppe,8627,,0.30,Jerret,0.27,Steppe,0.33,7.23,6.37,14.50
Merlon of the Brambles,7548,,0.30,Merlon,0.20,Brambles,0.40,7.23,6.37,14.50
Hadrien of the Desert,928,,0.30,Hadrien,0.27,Desert,0.32,7.23,6.37,14.50
Eden of the Desert,4747,,0.30,Eden,0.27,Desert,0.32,7.23,6.37,14.50
Aldus of the Mount,8922,,0.30,Aldus,0.29,Mount,0.30,7.23,6.37,14.50
Aldus of the Mount,8990,,0.30,Aldus,0.29,Mount,0.30,7.23,6.37,14.50
Aldus of the Mount,9397,,0.30,Aldus,0.29,Mount,0.30,7.23,6.37,14.50
Apollo of the Hills,6663,,0.30,Apollo,0.23,Hills,0.36,7.23,6.37,14.49
Aldus of the Keep,1390,,0.30,Aldus,0.29,Keep,0.30,7.23,6.37,14.49
Eden of the Hall,8937,,0.30,Eden,0.27,Hall,0.31,7.23,6.37,14.49
Soya of the Tower,3056,,0.30,Soya,0.23,Tower,0.36,7.23,6.37,14.49
George of the Hall,8221,,0.30,George,0.27,Hall,0.31,7.23,6.37,14.48
Hadrien of the Valley,4511,,0.30,Hadrien,0.27,Valley,0.30,7.23,6.37,14.48
Hadrien of the Valley,8416,,0.30,Hadrien,0.27,Valley,0.30,7.23,6.37,14.48
Daria of the Marsh,2939,,0.30,Daria,0.26,Marsh,0.31,7.23,6.37,14.47
Artis of the Wood,6810,,0.30,Artis,0.38,Wood,0.19,7.23,6.37,14.47
Ixar of the Mount,151,,0.30,Ixar,0.27,Mount,0.30,7.23,6.37,14.47
Hadrien of the Keep,9225,,0.30,Hadrien,0.27,Keep,0.30,7.23,6.37,14.47
Aleister of the Havens,1533,,0.30,Aleister,0.11,Havens,0.46,7.23,6.37,14.47
Casper of the Wood,3185,,0.30,Casper,0.37,Wood,0.19,7.23,6.37,14.46
Lumos of the Cosmos,516,,0.30,Lumos,0.17,Cosmos,0.39,7.23,6.37,14.46
Alessar of the Marsh,5158,,0.30,Alessar,0.23,Marsh,0.31,7.23,6.37,14.45
Apollo of the Mount,1150,,0.30,Apollo,0.23,Mount,0.30,7.23,6.37,14.43
Azahl of the Wood,7058,,0.30,Azahl,0.34,Wood,0.19,7.23,6.37,14.43
Ofaris of the Wood,8626,,0.30,Ofaris,0.33,Wood,0.19,7.23,6.37,14.42
Celah of the Wood,7147,,0.30,Celah,0.33,Wood,0.19,7.23,6.37,14.42
Amir of the Wood,805,,0.30,Amir,0.32,Wood,0.19,7.23,6.37,14.41
Aleister of the Cosmos,7191,,0.30,Aleister,0.11,Cosmos,0.39,7.23,6.37,14.39
Lumos of the Hall,2908,,0.30,Lumos,0.17,Hall,0.31,7.23,6.37,14.38
Aleister of the Plains,4029,,0.30,Aleister,0.11,Plains,0.38,7.23,6.37,14.38
Milton of the Wood,7065,,0.30,Milton,0.29,Wood,0.19,7.23,6.37,14.38
Lumos of the Valley,5213,,0.30,Lumos,0.17,Valley,0.30,7.23,6.37,14.37
Milo of the Wood,465,,0.30,Milo,0.28,Wood,0.19,7.23,6.37,14.37
Transmuter Feng of the Sands,4687,Transmuter,8.93,Feng,3.51,Sands,1.07,0.48,0.37,14.37
Alchemist Aubergine of the Woodlands,4342,Alchemist,0.38,Aubergine,10.53,Woodlands,2.59,0.48,0.37,14.36
Eden of the Wood,2998,,0.30,Eden,0.27,Wood,0.19,7.23,6.37,14.36
Eden of the Wood,4419,,0.30,Eden,0.27,Wood,0.19,7.23,6.37,14.36
Aleister of the Tower,1729,,0.30,Aleister,0.11,Tower,0.36,7.23,6.37,14.36
Daria of the Wood,712,,0.30,Daria,0.26,Wood,0.19,7.23,6.37,14.35
Aleister of the Steppe,7959,,0.30,Aleister,0.11,Steppe,0.33,7.23,6.37,14.34
Aleister of the Desert,2842,,0.30,Aleister,0.11,Desert,0.32,7.23,6.37,14.33
Aleister of the Mount,693,,0.30,Aleister,0.11,Mount,0.30,7.23,6.37,14.31
Aleister of the Keep,2133,,0.30,Aleister,0.11,Keep,0.30,7.23,6.37,14.30
Aleister of the Keep,5360,,0.30,Aleister,0.11,Keep,0.30,7.23,6.37,14.30
Aleister of the Keep,9859,,0.30,Aleister,0.11,Keep,0.30,7.23,6.37,14.30
Diabolist Ghorhoth of the Astral Plane,5841,Diabolist,2.15,Ghorhoth,10.53,Astral Plane,0.75,0.48,0.37,14.28
Lumos of the Wood,9313,,0.30,Lumos,0.17,Wood,0.19,7.23,6.37,14.26
Fortune Teller Takao of the Realm,316,Fortune Teller,5.66,Takao,7.02,Realm,0.68,0.48,0.37,14.21
Electromancer Fallow of the Capital,2638,Electromancer,2.18,Fallow,10.53,Capital,0.64,0.48,0.37,14.20
Aleister of the Wood,1117,,0.30,Aleister,0.11,Wood,0.19,7.23,6.37,14.20
Necromancer Billy in the Shadows,6761,Necromancer,1.34,Billy,10.53,Shadows,1.10,0.48,0.37,13.82
Arcanist Hedgie from the Abyss,6979,Arcanist,0.69,Hedgie,10.53,Abyss,1.73,0.48,0.37,13.81
Sky Master Morfran of the Quantum Downs,2829,Sky Master,4.85,Morfran,7.02,Quantum Downs,1.01,0.48,0.37,13.74
Summoner Hydra of the Brambles,5413,Summoner,1.91,Hydra,10.53,Brambles,0.40,0.48,0.37,13.69
Summoner Shabbith-Ka of the Tower,8844,Summoner,1.91,Shabbith-Ka,10.53,Tower,0.36,0.48,0.37,13.65
Necromancer Billy of the Astral Plane,1207,Necromancer,1.34,Billy,10.53,Astral Plane,0.75,0.48,0.37,13.47
Diviner Meloogen of Cuckoo Land,3719,Diviner,5.14,Meloogen,4.21,Cuckoo Land,3.16,0.48,0.37,13.37
Mystic Elmo of the Oasis,5479,Mystic,1.15,Elmo,10.53,Oasis,0.78,0.48,0.37,13.32
Alchemist Bumble of the Bibliotheca,7127,Alchemist,0.38,Bumble,10.53,Bibliotheca,1.51,0.48,0.37,13.28
Necromancer Black Phillip of the Sun,6763,Necromancer,1.34,Black Phillip,10.53,Sun,0.54,0.48,0.37,13.26
Ghost Eater Ghorhoth of the Steppe,3703,Ghost Eater,1.50,Ghorhoth,10.53,Steppe,0.33,0.48,0.37,13.22
Sage Vatar of the Psychic Leap,1183,Sage,0.66,Vatar,10.53,Psychic Leap,1.12,0.48,0.37,13.17
Arch-Magician Pus Mother of Avalon,2499,Arch-Magician,0.66,Pus Mother,10.53,Avalon,0.97,0.48,0.37,13.02
Diviner Meloogen of the Surf,3850,Diviner,5.14,Meloogen,4.21,Surf,2.79,0.48,0.37,13.01
Hedge Wizard Peter of the Fey,446,Hedge Wizard,0.47,Peter,10.53,Fey,1.14,0.48,0.37,12.99
Ice Mage Porto of the North,1482,Ice Mage,2.07,Porto,7.02,North,3.03,0.48,0.37,12.97
Transmuter Hanataka of the Astral Plane,4959,Transmuter,8.93,Hanataka,2.34,Astral Plane,0.75,0.48,0.37,12.88
Sage Pus Mother of the Reach,4238,Sage,0.66,Pus Mother,10.53,Reach,0.80,0.48,0.37,12.85
Shaman Azathoth of the Oasis,2987,Shaman,0.57,Azathoth,10.53,Oasis,0.78,0.48,0.37,12.74
Null Mage Jiang of the Dunes,6583,Null Mage,8.49,Jiang,2.63,Dunes,0.76,0.48,0.37,12.73
Null Mage Drusilla of the Waste,467,Null Mage,8.49,Drusilla,0.88,Waste,2.51,0.48,0.37,12.73
Null Mage Charlord of the Light,1562,Null Mage,8.49,Charlord,2.34,Light,1.01,0.48,0.37,12.69
Hedge Wizard Hedgie of Arcadia,2805,Hedge Wizard,0.47,Hedgie,10.53,Arcadia,0.71,0.48,0.37,12.57
Artificer Fallow of the Grotto,5123,Artificer,0.58,Fallow,10.53,Grotto,0.39,0.48,0.37,12.36
Hex Mage Yog-Sothoth of the Quantum Shadow,2785,Hex Mage,2.57,Yog-Sothoth,7.02,Quantum Shadow,1.86,0.48,0.37,12.31
Artificer Kurama of the Steppe,7132,Artificer,0.58,Kurama,10.53,Steppe,0.33,0.48,0.37,12.30
Arcanist Aubergine of the Wood,3112,Arcanist,0.69,Aubergine,10.53,Wood,0.19,0.48,0.37,12.27
Transmuter Gogol of the Citadel,4283,Transmuter,8.93,Gogol,1.75,Citadel,0.67,0.48,0.37,12.21
Alchemist Hydra of the Tower,7842,Alchemist,0.38,Hydra,10.53,Tower,0.36,0.48,0.37,12.13
Magus Azathoth of the Tower,9659,Magus,0.37,Azathoth,10.53,Tower,0.36,0.48,0.37,12.11
Magus Shabbith-Ka of the Mount,7117,Magus,0.37,Shabbith-Ka,10.53,Mount,0.30,0.48,0.37,12.06
Transmuter Rook of the Dunes,7670,Transmuter,8.93,Rook,1.50,Dunes,0.76,0.48,0.37,12.05
Archmagus Orange Menace of the Moors,2904,Archmagus,0.16,Orange Menace,10.53,Moors,0.45,0.48,0.37,11.99
Holy Monk Alvaro of the Sea,37,Holy Monk,4.47,Alvaro,5.26,Sea,1.32,0.48,0.37,11.91
Ghost Eater Optimus of the Waste,2931,Ghost Eater,1.50,Optimus,7.02,Waste,2.51,0.48,0.37,11.88
Transmuter Konoha of the Plains,5246,Transmuter,8.93,Konoha,1.62,Plains,0.38,0.48,0.37,11.79
Transmuter Peppy of the Realm,1345,Transmuter,8.93,Peppy,1.32,Realm,0.68,0.48,0.37,11.79
Ice Mage Buttons of the Crag,7798,Ice Mage,2.07,Buttons,4.21,Crag,4.54,0.48,0.37,11.68
Artificer Yog-Sothoth of Limbo,7915,Artificer,0.58,Yog-Sothoth,7.02,Limbo,3.16,0.48,0.37,11.61
Null Mage Salah of the Rock,2416,Null Mage,8.49,Salah,1.40,Rock,0.84,0.48,0.37,11.58
Transmuter Onaxx of the Havens,5663,Transmuter,8.93,Onaxx,1.32,Havens,0.46,0.48,0.37,11.57
Augurer Mad Apple of the Tower,3977,Augurer,3.26,Mad Apple,7.02,Tower,0.36,0.48,0.37,11.50
Null Mage Jeldor from the Abyss,3637,Null Mage,8.49,Jeldor,0.38,Abyss,1.73,0.48,0.37,11.46
Hydromancer Devin of the Salt,6167,Hydromancer,1.87,Devin,2.63,Salt,6.05,0.48,0.37,11.41
Medium Junko of the Oasis,4732,Medium,5.48,Junko,4.21,Oasis,0.78,0.48,0.37,11.33
Transmuter Casper in the Shadows,6451,Transmuter,8.93,Casper,0.37,Shadows,1.10,0.48,0.37,11.26
Transmuter Magpie of the Mist,1024,Transmuter,8.93,Magpie,0.96,Mist,0.50,0.48,0.37,11.25
Fortune Teller Zeromus out of the Blizzard,5544,Fortune Teller,5.66,Zeromus,1.40,Blizzard,3.30,0.48,0.37,11.22
Null Mage Flynn of the Psychic Leap,5912,Null Mage,8.49,Flynn,0.75,Psychic Leap,1.12,0.48,0.37,11.21
Chronomancer Takao of the Astral Plane,8840,Chronomancer,2.53,Takao,7.02,Astral Plane,0.75,0.48,0.37,11.16
Null Mage Quddus of the Forest,2766,Null Mage,8.49,Quddus,1.17,Forest,0.64,0.48,0.37,11.16
Transmuter Isaac of Avalon,204,Transmuter,8.93,Isaac,0.39,Avalon,0.97,0.48,0.37,11.15
Diviner Eric of the Crag,3129,Diviner,5.14,Eric,0.58,Crag,4.54,0.48,0.37,11.13
Transmuter Dutorn of the Valley,1260,Transmuter,8.93,Dutorn,0.92,Valley,0.30,0.48,0.37,11.01
Cosmic Mage Winter Squash of the Inferno,622,Cosmic Mage,2.46,Winter Squash,5.26,Inferno,2.42,0.48,0.37,11.00
Null Mage Drusilla of the Oasis,4372,Null Mage,8.49,Drusilla,0.88,Oasis,0.78,0.48,0.37,11.00
Arcanist Porto of the Cold,100,Arcanist,0.69,Porto,7.02,Cold,2.42,0.48,0.37,10.99
Voodoo Priest Jaffer of the Great Blue,2114,Voodoo Priest,2.53,Jaffer,1.50,Great Blue,6.05,0.48,0.37,10.95
Artificer Benito out of the Void,3585,Artificer,0.58,Benito,7.02,Void,2.42,0.48,0.37,10.88
Null Mage Voidoth of Mu,808,Null Mage,8.49,Voidoth,0.55,Mu,0.97,0.48,0.37,10.87
Summoner Colorman of the Toadstools,7666,Summoner,1.91,Colorman,7.02,Toadstools,0.93,0.48,0.37,10.72
Oracle Abbadon of the Ether,668,Oracle,4.04,Abbadon,5.26,Ether,0.55,0.48,0.37,10.71
Transmuter Soran of the Havens,6961,Transmuter,8.93,Soran,0.43,Havens,0.46,0.48,0.37,10.68
Bard Impy of the Great Blue,7811,Bard,3.03,Impy,0.70,Great Blue,6.05,0.48,0.37,10.64
Null Mage Ixar of the Light,5287,Null Mage,8.49,Ixar,0.27,Light,1.01,0.48,0.37,10.62
Null Mage Eric of the Riviera,6806,Null Mage,8.49,Eric,0.58,Riviera,0.67,0.48,0.37,10.60
Artificer Fredo of the Circle,5131,Artificer,0.58,Fredo,7.02,Circle,2.14,0.48,0.37,10.59
Summoner Yanlin of the Reach,9329,Summoner,1.91,Yanlin,7.02,Reach,0.80,0.48,0.37,10.58
Transmuter Hothor of the Marsh,6534,Transmuter,8.93,Hothor,0.48,Marsh,0.31,0.48,0.37,10.58
Transmuter Hothor of the Valley,7104,Transmuter,8.93,Hothor,0.48,Valley,0.30,0.48,0.37,10.57
Transmuter Alessar of the Sun,172,Transmuter,8.93,Alessar,0.23,Sun,0.54,0.48,0.37,10.56
Sky Master Jagger of the Gnostics,92,Sky Master,4.85,Jagger,4.21,Gnostics,0.64,0.48,0.37,10.56
Pyromancer Miyo of the Great Blue,794,Pyromancer,1.02,Miyo,2.63,Great Blue,6.05,0.48,0.37,10.56
Electromancer Optimus of the Havens,9724,Electromancer,2.18,Optimus,7.02,Havens,0.46,0.48,0.37,10.52
Conjurer Takao of the Fey,956,Conjurer,1.49,Takao,7.02,Fey,1.14,0.48,0.37,10.50
Null Mage Chooki of the Steppe,1155,Null Mage,8.49,Chooki,0.81,Steppe,0.33,0.48,0.37,10.49
Transmuter Basil of the Desert,6863,Transmuter,8.93,Basil,0.36,Desert,0.32,0.48,0.37,10.47
Void Disciple Orbus of the Pit,6122,Void Disciple,2.33,Orbus,5.26,Pit,2.02,0.48,0.37,10.46
Ice Mage Cullen of the Arctic,1329,Ice Mage,2.07,Cullen,4.21,Arctic,3.30,0.48,0.37,10.44
Transmuter Hadrien of the Tower,569,Transmuter,8.93,Hadrien,0.27,Tower,0.36,0.48,0.37,10.42
Sky Master Hank of the Thorn,6647,Sky Master,4.85,Hank,3.01,Thorn,1.69,0.48,0.37,10.40
Transmuter Aldus of the Valley,4038,Transmuter,8.93,Aldus,0.29,Valley,0.30,0.48,0.37,10.38
Transmuter Aleister of the Moors,3023,Transmuter,8.93,Aleister,0.11,Moors,0.45,0.48,0.37,10.34
Arcanist Shi from the Abyss,8526,Arcanist,0.69,Shi,7.02,Abyss,1.73,0.48,0.37,10.30
Sky Master Jay of the Belfry,9258,Sky Master,4.85,Jay,3.51,Belfry,1.07,0.48,0.37,10.28
Hydromancer Shu of the Sun,4677,Hydromancer,1.87,Shu,7.02,Sun,0.54,0.48,0.37,10.28
Hydromancer Yanlin of the Heath,9920,Hydromancer,1.87,Yanlin,7.02,Heath,0.46,0.48,0.37,10.20
Aeromancer Kryll of the North,7709,Aeromancer,2.07,Kryll,4.21,North,3.03,0.48,0.37,10.17
Null Mage Milton of the Villa,1566,Null Mage,8.49,Milton,0.29,Villa,0.53,0.48,0.37,10.16
Artificer Benito of the Thorn,1686,Artificer,0.58,Benito,7.02,Thorn,1.69,0.48,0.37,10.14
Druid Morfran from the Abyss,4781,Druid,0.54,Morfran,7.02,Abyss,1.73,0.48,0.37,10.14
Bard Liu of the Event Horizon,3412,Bard,3.03,Liu,5.26,Event Horizon,0.98,0.48,0.37,10.13
Null Mage Soya of the Ether,7542,Null Mage,8.49,Soya,0.23,Ether,0.55,0.48,0.37,10.12
Hydromancer Ai of the Hills,2814,Hydromancer,1.87,Ai,7.02,Hills,0.36,0.48,0.37,10.10
Medium Peppy out of the Void,7849,Medium,5.48,Peppy,1.32,Void,2.42,0.48,0.37,10.07
Ghost Eater Robin of the Realm,9953,Ghost Eater,1.50,Robin,7.02,Realm,0.68,0.48,0.37,10.06
Sage Morrow of the Bibliotheca,3720,Sage,0.66,Morrow,7.02,Bibliotheca,1.51,0.48,0.37,10.05
Sky Master Jay of Dreams,4074,Sky Master,4.85,Jay,3.51,Dreams,0.83,0.48,0.37,10.04
Wild Mage Nick of the Cosmos,7371,Wild Mage,1.75,Nick,7.02,Cosmos,0.39,0.48,0.37,10.01
Alchemist Morfran from the Abyss,3877,Alchemist,0.38,Morfran,7.02,Abyss,1.73,0.48,0.37,9.99
Cleric Shu of the Wold,2720,Cleric,1.56,Shu,7.02,Wold,0.55,0.48,0.37,9.99
Bard Ronald of the Oasis,4177,Bard,3.03,Ronald,5.26,Oasis,0.78,0.48,0.37,9.93
Spellsinger Winter Squash of Mu,2694,Spellsinger,2.83,Winter Squash,5.26,Mu,0.97,0.48,0.37,9.92
Fortune Teller Jiang of the Astral Plane,1613,Fortune Teller,5.66,Jiang,2.63,Astral Plane,0.75,0.48,0.37,9.90
Fortune Teller Goomer of the Steppe,9729,Fortune Teller,5.66,Goomer,3.01,Steppe,0.33,0.48,0.37,9.86
Holy Monk Chandler of Alfheim,8538,Holy Monk,4.47,Chandler,2.11,Alfheim,2.42,0.48,0.37,9.85
Fortune Teller Sarah of Atlantis,5993,Fortune Teller,5.66,Sarah,1.32,Atlantis,2.02,0.48,0.37,9.85
Holy Monk Finch of the Garden,2781,Holy Monk,4.47,Finch,3.01,Garden,1.51,0.48,0.37,9.85
Arcanist Providence of the North,5516,Arcanist,0.69,Providence,5.26,North,3.03,0.48,0.37,9.84
Scryer Bane of the Astral Plane,8797,Scryer,4.71,Bane,3.51,Astral Plane,0.75,0.48,0.37,9.83
Sky Master Corvin of the Swell,9762,Sky Master,4.85,Corvin,1.17,Swell,2.91,0.48,0.37,9.78
Shadow Mage Zevi of the Desert,931,Shadow Mage,1.54,Zevi,7.02,Desert,0.32,0.48,0.37,9.74
Illusionist Ai of the Realm,4956,Illusionist,1.19,Ai,7.02,Realm,0.68,0.48,0.37,9.74
Ice Mage Enzo of the Arctic,3974,Ice Mage,2.07,Enzo,3.51,Arctic,3.30,0.48,0.37,9.74
Shadow Mage Optimus of the Keep,7806,Shadow Mage,1.54,Optimus,7.02,Keep,0.30,0.48,0.37,9.71
Medium Shizu of El Dorado,9015,Medium,5.48,Shizu,2.63,El Dorado,0.73,0.48,0.37,9.70
Medium Le Blanc of the Tower,3040,Medium,5.48,Le Blanc,3.01,Tower,0.36,0.48,0.37,9.70
Ghost Eater Morrow of the Mount,7897,Ghost Eater,1.50,Morrow,7.02,Mount,0.30,0.48,0.37,9.68
Evoker Kingsley of Mu,715,Evoker,2.57,Kingsley,5.26,Mu,0.97,0.48,0.37,9.66
Null Mage Aleister of the Wood,2084,Null Mage,8.49,Aleister,0.11,Wood,0.19,0.48,0.37,9.64
Augurer Borak of the Crag,942,Augurer,3.26,Borak,0.96,Crag,4.54,0.48,0.37,9.62
Cryptomancer Shroomer of the Lake,4263,Cryptomancer,2.74,Shroomer,5.26,Lake,0.76,0.48,0.37,9.62
Illusionist Colorman of the Ether,2474,Illusionist,1.19,Colorman,7.02,Ether,0.55,0.48,0.37,9.61
Cryptomancer Jay of the Secret Fire,3791,Cryptomancer,2.74,Jay,3.51,Secret Fire,2.51,0.48,0.37,9.61
Necromancer Morrow of the Cosmos,2169,Necromancer,1.34,Morrow,7.02,Cosmos,0.39,0.48,0.37,9.60
Ice Mage Nori of the Expanse,9742,Ice Mage,2.07,Nori,2.63,Expanse,4.04,0.48,0.37,9.60
Fortune Teller George of the Surf,6953,Fortune Teller,5.66,George,0.27,Surf,2.79,0.48,0.37,9.58
Pyromancer Xerxes out of the Void,8126,Pyromancer,1.02,Xerxes,5.26,Void,2.42,0.48,0.37,9.56
Geomancer Ai of the Plains,265,Geomancer,1.31,Ai,7.02,Plains,0.38,0.48,0.37,9.56
Battlemage Lei of Mu,793,Battlemage,2.46,Lei,5.26,Mu,0.97,0.48,0.37,9.55
Diviner Huan of Elysium,5393,Diviner,5.14,Huan,2.63,Elysium,0.91,0.48,0.37,9.54
